window_size,lam,networksize,learnrate,seed,sharpe,cumret,meanret,stdret
1,0.001,32,1e-05,5.0,1.7280909090909091,1.0933636363636365,0.001,0.006818181818181818
1,0.001,32,0.0001,5.0,3.230181818181818,1.3283636363636364,0.0024545454545454545,0.012272727272727274
1,0.001,32,0.001,5.0,5.506090909090909,1.5116363636363637,0.00409090909090909,0.01109090909090909
1,0.001,32,0.005,5.0,3.913727272727273,1.387,0.003,0.011909090909090909
1,0.001,32,0.01,5.0,3.962090909090909,1.3733636363636363,0.002818181818181818,0.012454545454545453
1,0.001,64,1e-05,5.0,1.714,1.093909090909091,0.001,0.007
1,0.001,64,0.0001,5.0,4.058363636363636,1.4004545454545456,0.003090909090909091,0.012363636363636365
1,0.001,64,0.001,5.0,5.563545454545454,1.5113636363636365,0.00390909090909091,0.010909090909090908
1,0.001,64,0.005,5.0,4.855818181818182,1.4524545454545454,0.0034545454545454545,0.011363636363636364
1,0.001,64,0.01,5.0,2.723818181818182,1.2611818181818182,0.0020909090909090908,0.011181818181818182
1,0.001,128,1e-05,5.0,1.4874545454545456,1.1196363636363638,0.001,0.01
1,0.001,128,0.0001,5.0,4.946545454545454,1.4760909090909093,0.0036363636363636364,0.011818181818181818
1,0.001,128,0.001,5.0,5.038,1.4769090909090907,0.0036363636363636364,0.01109090909090909
1,0.001,128,0.005,5.0,2.1532727272727272,1.192909090909091,0.0013636363636363635,0.010818181818181817
1,0.001,128,0.01,5.0,3.644181818181818,1.3486363636363636,0.0025454545454545456,0.012272727272727274
1,0.01,32,1e-05,5.0,1.7280909090909091,1.0934545454545455,0.001,0.006818181818181818
1,0.01,32,0.0001,5.0,3.3432727272727276,1.3382727272727273,0.0026363636363636363,0.012181818181818183
1,0.01,32,0.001,5.0,5.556636363636364,1.5159090909090909,0.004,0.01109090909090909
1,0.01,32,0.005,5.0,4.328909090909091,1.3993636363636364,0.003090909090909091,0.011454545454545455
1,0.01,32,0.01,5.0,1.8255454545454546,1.192,0.0015454545454545456,0.013454545454545453
1,0.01,64,1e-05,5.0,1.7133636363636364,1.0938181818181818,0.001,0.007
1,0.01,64,0.0001,5.0,4.050454545454546,1.4036363636363636,0.003181818181818182,0.012272727272727274
1,0.01,64,0.001,5.0,5.6120909090909095,1.516909090909091,0.004272727272727273,0.010909090909090908
1,0.01,64,0.005,5.0,3.2931818181818184,1.32,0.0023636363636363638,0.012727272727272726
1,0.01,64,0.01,5.0,3.079,1.296,0.002181818181818182,0.012272727272727274
1,0.01,128,1e-05,5.0,1.4997272727272728,1.1192727272727272,0.001,0.01
1,0.01,128,0.0001,5.0,4.819,1.4664545454545455,0.0035454545454545456,0.011818181818181818
1,0.01,128,0.001,5.0,4.320818181818182,1.4147272727272726,0.003181818181818182,0.011545454545454546
1,0.01,128,0.005,5.0,3.083,1.289909090909091,0.002272727272727273,0.011909090909090909
1,0.01,128,0.01,5.0,2.5266363636363636,1.2597272727272726,0.0019090909090909091,0.013363636363636362
1,0.1,32,1e-05,5.0,1.7288181818181818,1.0933636363636365,0.001,0.006818181818181818
1,0.1,32,0.0001,5.0,3.232727272727273,1.3295454545454546,0.0024545454545454545,0.012363636363636365
1,0.1,32,0.001,5.0,5.1735454545454544,1.4700909090909091,0.0036363636363636364,0.010727272727272726
1,0.1,32,0.005,5.0,3.278727272727273,1.3143636363636364,0.0024545454545454545,0.012181818181818183
1,0.1,32,0.01,5.0,3.7141818181818183,1.3586363636363636,0.002727272727272727,0.012636363636363635
1,0.1,64,1e-05,5.0,1.7123636363636363,1.0934545454545455,0.001,0.007
1,0.1,64,0.0001,5.0,4.540636363636364,1.4407272727272729,0.0035454545454545456,0.012090909090909091
1,0.1,64,0.001,5.0,5.726727272727273,1.527818181818182,0.004272727272727273,0.010818181818181817
1,0.1,64,0.005,5.0,4.259818181818182,1.3967272727272728,0.003090909090909091,0.011454545454545455
1,0.1,64,0.01,5.0,1.9130909090909092,1.1831818181818181,0.0013636363636363635,0.012363636363636365
1,0.1,128,1e-05,5.0,1.7003636363636365,1.109727272727273,0.001,0.007909090909090909
1,0.1,128,0.0001,5.0,5.366818181818182,1.5071818181818182,0.0038181818181818182,0.011545454545454546
1,0.1,128,0.001,5.0,5.166272727272728,1.4872727272727273,0.0037272727272727275,0.011454545454545455
1,0.1,128,0.005,5.0,4.293727272727273,1.4155454545454544,0.003181818181818182,0.011727272727272727
1,0.1,128,0.01,5.0,3.555545454545455,1.3383636363636364,0.0026363636363636363,0.012636363636363635
1,0.5,32,1e-05,5.0,1.7287272727272727,1.0930909090909091,0.001,0.006727272727272727
1,0.5,32,0.0001,5.0,1.4125454545454545,1.1315454545454544,0.001,0.011545454545454546
1,0.5,32,0.001,5.0,4.503,1.4101818181818182,0.003181818181818182,0.010818181818181817
1,0.5,32,0.005,5.0,2.4205454545454548,1.1804545454545454,0.0015454545454545456,0.00818181818181818
1,0.5,32,0.01,5.0,1.981090909090909,1.1436363636363636,0.0013636363636363635,0.008090909090909091
1,0.5,64,1e-05,5.0,1.7101818181818182,1.0921818181818181,0.001,0.007
1,0.5,64,0.0001,5.0,1.6273636363636363,1.1891818181818181,0.0012727272727272728,0.014545454545454545
1,0.5,64,0.001,5.0,4.396545454545454,1.3930909090909092,0.003,0.010454545454545454
1,0.5,64,0.005,5.0,3.8657272727272725,1.3395454545454546,0.0026363636363636363,0.009636363636363636
1,0.5,64,0.01,5.0,1.891727272727273,1.145,0.0012727272727272728,0.008727272727272728
1,0.5,128,1e-05,5.0,1.7260909090909093,1.0933636363636365,0.001,0.007
1,0.5,128,0.0001,5.0,3.502818181818182,1.3575454545454546,0.002727272727272727,0.012545454545454547
1,0.5,128,0.001,5.0,5.203818181818182,1.4897272727272728,0.00390909090909091,0.011545454545454546
1,0.5,128,0.005,5.0,2.9816363636363636,1.2481818181818183,0.002,0.009272727272727273
1,0.5,128,0.01,5.0,2.4968181818181816,1.213818181818182,0.0016363636363636365,0.010363636363636363
1,1.0,32,1e-05,5.0,1.7270909090909092,1.0927272727272728,0.001,0.006727272727272727
1,1.0,32,0.0001,5.0,1.7264545454545455,1.093,0.001,0.006909090909090909
1,1.0,32,0.001,5.0,2.602,1.224,0.0018181818181818182,0.009818181818181818
1,1.0,32,0.005,5.0,1.6898181818181819,1.0986363636363636,0.0009090909090909091,0.007363636363636364
1,1.0,32,0.01,5.0,1.966909090909091,1.1345454545454545,0.001090909090909091,0.007363636363636364
1,1.0,64,1e-05,5.0,1.7087272727272727,1.0918181818181818,0.001,0.006909090909090909
1,1.0,64,0.0001,5.0,1.6618181818181819,1.0909090909090908,0.001,0.007090909090909091
1,1.0,64,0.001,5.0,2.8176363636363635,1.2603636363636364,0.0019090909090909091,0.010727272727272726
1,1.0,64,0.005,5.0,2.680181818181818,1.219090909090909,0.0019090909090909091,0.009272727272727273
1,1.0,64,0.01,5.0,2.1315454545454546,1.1637272727272727,0.0013636363636363635,0.00890909090909091
1,1.0,128,1e-05,5.0,1.7205454545454548,1.0924545454545453,0.001,0.007
1,1.0,128,0.0001,5.0,1.357,1.1241818181818182,0.001,0.011818181818181818
1,1.0,128,0.001,5.0,2.947909090909091,1.2610000000000001,0.002,0.010818181818181817
1,1.0,128,0.005,5.0,2.1935454545454545,1.182909090909091,0.0014545454545454547,0.009272727272727273
1,1.0,128,0.01,5.0,1.624090909090909,1.1135454545454546,0.001,0.008454545454545454
1,2.0,32,1e-05,5.0,1.725090909090909,1.0925454545454547,0.001,0.006727272727272727
1,2.0,32,0.0001,5.0,1.724909090909091,1.0923636363636364,0.001,0.006909090909090909
1,2.0,32,0.001,5.0,2.1870000000000003,1.1554545454545455,0.0014545454545454547,0.008
1,2.0,32,0.005,5.0,1.9433636363636362,1.1237272727272727,0.0011818181818181819,0.007454545454545455
1,2.0,32,0.01,5.0,1.5590909090909089,1.087909090909091,0.0008181818181818183,0.006909090909090909
1,2.0,64,1e-05,5.0,1.7086363636363637,1.0914545454545455,0.001,0.006818181818181818
1,2.0,64,0.0001,5.0,1.7117272727272728,1.0918181818181818,0.001,0.007
1,2.0,64,0.001,5.0,2.256090909090909,1.1865454545454546,0.0015454545454545456,0.009000000000000001
1,2.0,64,0.005,5.0,2.000818181818182,1.1452727272727274,0.0011818181818181819,0.008727272727272728
1,2.0,64,0.01,5.0,1.8149090909090908,1.1106363636363636,0.001090909090909091,0.007272727272727273
1,2.0,128,1e-05,5.0,1.7184545454545452,1.092,0.001,0.007
1,2.0,128,0.0001,5.0,1.722181818181818,1.0921818181818181,0.001,0.006909090909090909
1,2.0,128,0.001,5.0,3.4641818181818183,1.3069090909090908,0.0023636363636363638,0.010363636363636363
1,2.0,128,0.005,5.0,1.6753636363636362,1.1204545454545454,0.0011818181818181819,0.009000000000000001
1,2.0,128,0.01,5.0,1.4523636363636365,1.0981818181818181,0.0008181818181818183,0.008545454545454545
1,5.0,32,1e-05,5.0,1.724,1.0923636363636364,0.001,0.0066363636363636356
1,5.0,32,0.0001,5.0,1.7234545454545456,1.0923636363636364,0.001,0.006909090909090909
1,5.0,32,0.001,5.0,1.7224545454545455,1.0922727272727273,0.001,0.006818181818181818
1,5.0,32,0.005,5.0,1.5854545454545457,1.0867272727272728,0.0009090909090909091,0.007
1,5.0,32,0.01,5.0,1.349,1.0776363636363635,0.0008181818181818183,0.007
1,5.0,64,1e-05,5.0,1.707818181818182,1.0912727272727272,0.001,0.006818181818181818
1,5.0,64,0.0001,5.0,1.7137272727272725,1.0915454545454546,0.001,0.007
1,5.0,64,0.001,5.0,2.8395454545454544,1.2334545454545454,0.0019090909090909091,0.00890909090909091
1,5.0,64,0.005,5.0,1.9125454545454545,1.1347272727272726,0.0011818181818181819,0.008090909090909091
1,5.0,64,0.01,5.0,1.5320909090909092,1.089909090909091,0.0009090909090909091,0.007363636363636364
1,5.0,128,1e-05,5.0,1.716818181818182,1.0917272727272727,0.001,0.006909090909090909
1,5.0,128,0.0001,5.0,1.716909090909091,1.091909090909091,0.001,0.006818181818181818
1,5.0,128,0.001,5.0,2.719818181818182,1.2188181818181818,0.002,0.009454545454545453
1,5.0,128,0.005,5.0,1.5590000000000002,1.0983636363636364,0.0009090909090909091,0.007545454545454546
1,5.0,128,0.01,5.0,1.1026363636363636,1.0798181818181818,0.0007272727272727273,0.009181818181818182
1,10.0,32,1e-05,5.0,1.7234545454545454,1.0922727272727273,0.001,0.0066363636363636356
1,10.0,32,0.0001,5.0,1.7236363636363636,1.0922727272727273,0.001,0.006909090909090909
1,10.0,32,0.001,5.0,1.724,1.0922727272727273,0.001,0.006818181818181818
1,10.0,32,0.005,5.0,1.6280000000000001,1.088818181818182,0.0009090909090909091,0.006909090909090909
1,10.0,32,0.01,5.0,1.4212727272727272,1.0825454545454547,0.0007272727272727273,0.006909090909090909
1,10.0,64,1e-05,5.0,1.7075454545454547,1.0911818181818183,0.001,0.006818181818181818
1,10.0,64,0.0001,5.0,1.7143636363636363,1.0916363636363635,0.001,0.007
1,10.0,64,0.001,5.0,1.716818181818182,1.0917272727272727,0.001,0.006727272727272727
1,10.0,64,0.005,5.0,1.5767272727272728,1.094909090909091,0.0008181818181818183,0.007363636363636364
1,10.0,64,0.01,5.0,1.1572727272727272,1.0717272727272726,0.0007272727272727273,0.007636363636363636
1,10.0,128,1e-05,5.0,1.7160000000000002,1.0917272727272727,0.001,0.006909090909090909
1,10.0,128,0.0001,5.0,1.7173636363636364,1.0917272727272727,0.001,0.006909090909090909
1,10.0,128,0.001,5.0,1.054181818181818,1.0565454545454545,0.0005454545454545455,0.006727272727272727
1,10.0,128,0.005,5.0,1.7862727272727275,1.1407272727272728,0.001090909090909091,0.008727272727272728
1,10.0,128,0.01,5.0,1.4250909090909092,1.1094545454545455,0.0009090909090909091,0.009
1,20.0,32,1e-05,5.0,1.7229999999999999,1.0921818181818184,0.001,0.0066363636363636356
1,20.0,32,0.0001,5.0,1.722181818181818,1.0921818181818181,0.001,0.006909090909090909
1,20.0,32,0.001,5.0,1.7238181818181817,1.0923636363636364,0.001,0.006818181818181818
1,20.0,32,0.005,5.0,1.6613636363636362,1.0915454545454546,0.001,0.006909090909090909
1,20.0,32,0.01,5.0,1.4632727272727273,1.0845454545454545,0.0008181818181818183,0.007
1,20.0,64,1e-05,5.0,1.7083636363636365,1.0912727272727272,0.001,0.006818181818181818
1,20.0,64,0.0001,5.0,1.713909090909091,1.0914545454545455,0.001,0.006909090909090909
1,20.0,64,0.001,5.0,1.7158181818181821,1.0915454545454546,0.001,0.0066363636363636356
1,20.0,64,0.005,5.0,1.7772727272727273,1.1051818181818183,0.001090909090909091,0.007272727272727273
1,20.0,64,0.01,5.0,1.6171818181818183,1.1025454545454545,0.001,0.007454545454545455
1,20.0,128,1e-05,5.0,1.7161818181818183,1.0918181818181818,0.001,0.006818181818181818
1,20.0,128,0.0001,5.0,1.714909090909091,1.0917272727272727,0.001,0.006909090909090909
1,20.0,128,0.001,5.0,1.7073636363636362,1.0911818181818183,0.001,0.0066363636363636356
1,20.0,128,0.005,5.0,1.4320000000000002,1.0889090909090908,0.0008181818181818183,0.007545454545454546
1,20.0,128,0.01,5.0,1.3331818181818182,1.0864545454545456,0.0007272727272727273,0.007727272727272728
1,40.0,32,1e-05,5.0,1.7229090909090912,1.0921818181818184,0.001,0.0066363636363636356
1,40.0,32,0.0001,5.0,1.7230909090909092,1.0922727272727273,0.001,0.006909090909090909
1,40.0,32,0.001,5.0,1.7240909090909091,1.0923636363636364,0.001,0.006818181818181818
1,40.0,32,0.005,5.0,1.7,1.0937272727272729,0.001,0.006909090909090909
1,40.0,32,0.01,5.0,1.4182727272727271,1.0795454545454546,0.0008181818181818183,0.006818181818181818
1,40.0,64,1e-05,5.0,1.7085454545454546,1.0912727272727274,0.001,0.006818181818181818
1,40.0,64,0.0001,5.0,1.7137272727272725,1.0914545454545455,0.001,0.006818181818181818
1,40.0,64,0.001,5.0,1.7114545454545456,1.0911818181818183,0.001,0.0066363636363636356
1,40.0,64,0.005,5.0,1.6823636363636363,1.0964545454545453,0.001,0.007090909090909091
1,40.0,64,0.01,5.0,1.5727272727272728,1.095,0.001,0.007363636363636364
1,40.0,128,1e-05,5.0,1.7162727272727274,1.0917272727272727,0.001,0.006818181818181818
1,40.0,128,0.0001,5.0,1.7171818181818181,1.0916363636363637,0.001,0.006818181818181818
1,40.0,128,0.001,5.0,1.7089090909090912,1.0912727272727272,0.001,0.0066363636363636356
1,40.0,128,0.005,5.0,1.4880909090909091,1.0885454545454545,0.0008181818181818183,0.007181818181818182
1,40.0,128,0.01,5.0,1.4532727272727273,1.0874545454545455,0.0007272727272727273,0.007272727272727273
