combo_id,window_size,lr_actor,dyn_sim_M,dyn_sim_deterministic,dyn_sim_pl_weight,lam,actor_weight,kappa_unc,seed,best_val_sharpe,test_sharpe,test_total_return,test_mean_return,test_std_return
0,1,0.001,10,True,0.1,1.0,1.0,1.0,2,-inf,1.9366663694381714,1.1055413484573364,0.0008118567639030516,0.006654635071754456
0,1,0.001,10,True,0.1,1.0,1.0,1.0,0,-inf,1.8493107557296753,1.1007108688354492,0.0007746993796899915,0.0066500199027359486
0,1,0.001,10,True,0.1,1.0,1.0,1.0,7,-inf,1.6606261730194092,1.0890312194824219,0.0006848550983704627,0.006546760443598032
0,1,0.001,10,True,0.1,1.0,1.0,1.0,3,-inf,1.7663822174072266,1.095518946647644,0.0007347613573074341,0.006603303365409374
0,1,0.001,10,True,0.1,1.0,1.0,1.0,5,-inf,1.84255051612854,1.0997322797775269,0.0007671714993193746,0.0066095623187720776
0,1,0.001,10,True,0.1,1.0,1.0,1.0,4,-inf,1.8531265258789062,1.1008096933364868,0.0007754594553261995,0.006642838008701801
0,1,0.001,10,True,0.1,1.0,1.0,1.0,6,-inf,1.7078663110733032,1.0912985801696777,0.0007022965583018959,0.006527791731059551
0,1,0.001,10,True,0.1,1.0,1.0,1.0,1,-inf,1.7945921421051025,1.0971640348434448,0.0007474159356206656,0.006611442193388939
0,1,0.001,10,True,0.1,1.0,1.0,1.0,8,-inf,1.7221946716308594,1.0945481061935425,0.000727292790543288,0.006703886669129133
1,5,0.001,10,True,0.1,1.0,1.0,1.0,0,-inf,1.7967056035995483,1.0969903469085693,0.0007460792548954487,0.006591855548322201
0,1,0.001,10,True,0.1,1.0,1.0,1.0,9,-inf,1.7356687784194946,1.0926464796066284,0.0007126654381863773,0.006518061738461256
1,5,0.001,10,True,0.1,1.0,1.0,1.0,1,-inf,1.8179413080215454,1.0979303121566772,0.0007533101597800851,0.0065779960714280605
1,5,0.001,10,True,0.1,1.0,1.0,1.0,3,-inf,1.771964192390442,1.0960125923156738,0.0007385580101981759,0.006616515107452869
1,5,0.001,10,True,0.1,1.0,1.0,1.0,2,-inf,1.8282033205032349,1.0975364446640015,0.0007502803346142173,0.006514763925224543
1,5,0.001,10,True,0.1,1.0,1.0,1.0,4,-inf,1.883059024810791,1.101840853691101,0.0007833915296941996,0.006604114081710577
1,5,0.001,10,True,0.1,1.0,1.0,1.0,5,-inf,1.8183170557022095,1.0983264446258545,0.0007563568069599569,0.00660323491320014
1,5,0.001,10,True,0.1,1.0,1.0,1.0,6,-inf,1.7252833843231201,1.092056393623352,0.0007081257062964141,0.006515526678413153
1,5,0.001,10,True,0.1,1.0,1.0,1.0,8,-inf,1.7794386148452759,1.096117615699768,0.0007393661653622985,0.00659593241289258
1,5,0.001,10,True,0.1,1.0,1.0,1.0,7,-inf,1.7824735641479492,1.095746397972107,0.0007365108467638493,0.006559272762387991
1,5,0.001,10,True,0.1,1.0,1.0,1.0,9,-inf,1.7857215404510498,1.0944279432296753,0.000726368569303304,0.006457180250436068
2,10,0.001,10,True,0.1,1.0,1.0,1.0,0,-inf,1.9849128723144531,1.107146143913269,0.0008242007461376488,0.006591605022549629
2,10,0.001,10,True,0.1,1.0,1.0,1.0,1,-inf,1.9405518770217896,1.1036067008972168,0.0007969747530296445,0.0065195695497095585
2,10,0.001,10,True,0.1,1.0,1.0,1.0,2,-inf,2.007201671600342,1.1113699674606323,0.0008566917385905981,0.006775373127311468
2,10,0.001,10,True,0.1,1.0,1.0,1.0,3,-inf,1.9305087327957153,1.105932354927063,0.0008148641209118068,0.006700590252876282
2,10,0.001,10,True,0.1,1.0,1.0,1.0,4,-inf,1.9149328470230103,1.1033315658569336,0.0007948585553094745,0.006589249242097139
2,10,0.001,10,True,0.1,1.0,1.0,1.0,5,-inf,1.8251186609268188,1.0974571704864502,0.000749670434743166,0.006520470138639212
2,10,0.001,10,True,0.1,1.0,1.0,1.0,6,-inf,1.980072259902954,1.107040286064148,0.0008233871776610613,0.006601196713745594
2,10,0.001,10,True,0.1,1.0,1.0,1.0,7,-inf,1.5963202714920044,1.0850342512130737,0.0006541094044223428,0.0065047405660152435
2,10,0.001,10,True,0.1,1.0,1.0,1.0,8,-inf,1.9249097108840942,1.1039878129959106,0.0007999064982868731,0.00659672636538744
2,10,0.001,10,True,0.1,1.0,1.0,1.0,9,-inf,2.008969306945801,1.1101969480514526,0.0008476691436953843,0.006698116660118103
3,20,0.001,10,True,0.1,1.0,1.0,1.0,0,-inf,1.8957438468933105,1.1016743183135986,0.0007821104372851551,0.006549196783453226
3,20,0.001,10,True,0.1,1.0,1.0,1.0,1,-inf,1.6844332218170166,1.0880588293075562,0.0006773755885660648,0.006383742205798626
3,20,0.001,10,True,0.1,1.0,1.0,1.0,2,-inf,1.7210376262664795,1.091423511505127,0.0007032573339529335,0.006486695725470781
3,20,0.001,10,True,0.1,1.0,1.0,1.0,3,-inf,1.8596079349517822,1.100692868232727,0.0007745606126263738,0.006612012162804604
3,20,0.001,10,True,0.1,1.0,1.0,1.0,4,-inf,1.6314555406570435,1.0854324102401733,0.0006571728154085577,0.0063944607973098755
3,20,0.001,10,True,0.1,1.0,1.0,1.0,5,-inf,1.7267848253250122,1.0919047594070435,0.0007069596904329956,0.00649914238601923
3,20,0.001,10,True,0.1,1.0,1.0,1.0,7,-inf,1.7453622817993164,1.094785451889038,0.0007291193469427526,0.006631513591855764
3,20,0.001,10,True,0.1,1.0,1.0,1.0,6,-inf,1.8916494846343994,1.0995692014694214,0.0007659169496037066,0.006427478510886431
3,20,0.001,10,True,0.1,1.0,1.0,1.0,8,-inf,1.7973555326461792,1.094652771949768,0.0007280979189090431,0.006430658046156168
3,20,0.001,10,True,0.1,1.0,1.0,1.0,9,-inf,1.8448677062988281,1.0995936393737793,0.0007661052513867617,0.006592085584998131
4,60,0.001,10,True,0.1,1.0,1.0,1.0,0,-inf,1.8085285425186157,1.1032577753067017,0.0007942902157083154,0.006971938069909811
4,60,0.001,10,True,0.1,1.0,1.0,1.0,1,-inf,1.6512991189956665,1.0890647172927856,0.000685113191138953,0.006586219649761915
4,60,0.001,10,True,0.1,1.0,1.0,1.0,2,-inf,1.7578550577163696,1.0950334072113037,0.0007310261717066169,0.006601604167371988
4,60,0.001,10,True,0.1,1.0,1.0,1.0,3,-inf,1.8084312677383423,1.0969786643981934,0.000745989556889981,0.006548326928168535
4,60,0.001,10,True,0.1,1.0,1.0,1.0,4,-inf,1.8023681640625,1.0985678434371948,0.0007582138641737401,0.0066780224442481995
4,60,0.001,10,True,0.1,1.0,1.0,1.0,5,-inf,1.7201060056686401,1.0920703411102295,0.0007082329830154777,0.006536128465086222
4,60,0.001,10,True,0.1,1.0,1.0,1.0,6,-inf,1.8316826820373535,1.1006239652633667,0.0007740308647044003,0.006708226166665554
4,60,0.001,10,True,0.1,1.0,1.0,1.0,7,-inf,1.7873650789260864,1.0974996089935303,0.0007499970961362123,0.006661099847406149
4,60,0.001,10,True,0.1,1.0,1.0,1.0,8,-inf,1.8831881284713745,1.107251524925232,0.0008250116370618343,0.00695450184866786
4,60,0.001,10,True,0.1,1.0,1.0,1.0,9,-inf,1.8124696016311646,1.101589560508728,0.0007814580458216369,0.006844387389719486
